FMID,MarketName,Website,Street,City,County,State,Zip,Schedule,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
22002482,37.2 Rutherfordton Farmers Market,,146 North Main St,Rutherfordton,Rutherford,North Carolina,,,-81.9573,35.3668,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
21002467,39.1 Erwin/Unicoi County Farmers Market,,Erwin Town Hall,Erwin,Unicoi,Tennessee,37601,January - December,-82.3984,36.1465,Local government building grounds,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,4/19/2011 12:07:55 PM
22001925,39.9 Downtown Greenville Farmers Market,http://www.ruralresources.net,College Street,Greenville,Greene,Tennessee,37745,,-82.7629,36.1476,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22003273,40.3 Rutherford County Farmers Market,,260 Fairground Road off Bus Highway 74,Spindale,Rutherford,North Carolina,28139,,-81.9068,35.349,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
21005648,40.6 Jackson County Farmers Market,,Railroad Ave.,Sylva,Jackson,North Carolina,28779,January - December Saturday 9:00 am to 12:00 pm,-83.2247,35.3742,Local government building grounds,N,N,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,5/25/2011 7:45:49 AM
1000930,42.4 Greeneville Farmers' Market,http://www.greenevillefarmersmarket.com,123 Fair Grounds Circle,Greeneville,Greene,Tennessee,37745,"May - October Wednesday 3:00 PM to 6:00 PM, Saturday 8:00 AM to 1:00 PM, (We are having our 2nd Annual Country Christmas Craft & Produce Fair Sept. 15th 8 am to 1 pm.)",-82.783957,36.179852,Other,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,4/26/2012 2:24:46 PM
22001564,43.1 Cherokee Farmer's Tailgate Market,,Acquoni Road,Cherokee,Swain,North Carolina,28719,,-83.3117,35.4926,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004258,43.8 TRAVELERS REST COMMUNITY FARMERS MARKET,http://www.trfarmersmarket.com,1 Center Street,Travelers Rest,Greenville,South Carolina,29690,May - September Saturday 9:00 AM to 12:00 PM,-82.4436657,34.9676358,Other,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,5/29/2012 9:56:32 AM
22005278,43.8 Traveler's Rest Market,http://www.trfarmersmarket.org,1 Center St.,TravelerNULLs Rest,Greenville,South Carolina,29690,,-82.4437,34.9676,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
22004371,45.4 Cashiers Tailgate Market,,"in Downtown Cashier, heading west on Hwy 64 , In the parking lot of Cashiers Community Center between Cashiers and fire station",Cashier,Jackson County,North Carolina,,,-83.1013,35.1106,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
22003978,45.8 Inman Farmers Market,http://www.hubcityfm.org,45 Park Road (at the Armory),Inman,Spartanburg,South Carolina,29349,,-82.0976,35.048,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004413,48.6 Jonesborough Farmers Market,http://www.jonesborough.locallygrown.net,105 Courthouse Square,Jonesborough,Washington,Tennessee,37659,"May - October Saturday 8:00 AM to 12:00 PM, (We have no market on June 30 or Oct 6 due to festivals in town.)",-82.4728498,36.2940568,Closed-off public street,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,5/31/2012 10:53:32 AM
22004480,48.9 Avery County Farmers Market,,Newland Elementary School Parking Lot Highway 18,Newland,Avery County,North Carolina,,,-81.9219,36.0822,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1000956,49.6 Greenville State Farmers Market,http://www.agriculture.sc.gov,1354 Rutherford Road,Greenville,Greenville,South Carolina,29609,January - December Monday - Saturday 8:00 AM to 6:00 PM,-82.36667,34.89345,Federal/State government building grounds,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,4/26/2012 2:42:28 PM
1002455,49.8 Morganton Farmer's Market,http://www.downtownmorganton.com/index.php/farmers-markets,111 North Green Street,Morganton,Burke,North Carolina,28655,April - October Wednesday 2:00 PM to 6:00 PM,-81.688488,35.7466269,Local government building grounds,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,5/7/2012 3:34:19 PM
1002455,50.1 Morganton Farmer's Market,http://www.downtownmorganton.com/index.php/farmers-markets,300 Beach St.,Morganton,Burke,North Carolina,28680,April - October Saturday 8:00 AM to 12:00 PM,-81.68156,35.74306,Private business parking lot,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,5/7/2012 3:34:19 PM
1002845,51.1 Johnson City Farmer's Market,http://johnsoncityfarmersmarket.com,500 South Roan Street,Johnson City,Washington,Tennessee,TN,"May - October Wednesday 7:00 AM to 2:00 PM, Saturday 7:00 AM to 2:00 PM",-82.350512,36.315782,Local government building grounds,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,5/10/2012 11:50:23 AM
22003756,51.5 Beautiful Day Farmers and Artists Market,,located in Federal Building parking lot on Main Street,Bryson City,Swain,North Carolina,28713,,-83.447,35.4263,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22002842,51.5 Swain County Tailgate Market,,101 Mitchell St.,Bryson City,Swain,North Carolina,28713,,-83.4479,35.4287,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1001901,52.3 TD Saturday Market,http://www.saturdaymarketlive.com/,S. Main St,Greenville,Greenville,South Carolina,29601,May - October Saturday 8:00 AM to 12:00 PM,-82.39973,34.84917,Closed-off public street,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,5/1/2012 8:15:42 AM
21000595,52.9 Easley Farmers Market,http://www.easleyfarmersmarket.com,205 N. 1st St,Easley,Pickens,South Carolina,29640,January - December Saturday 8:00 am to 12:00 pm,-82.605,34.8303,Private business parking lot,N,N,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,4/4/2011 3:50:40 PM
22002937,53.2 Friends of the Rickman Store,http://www.ltlt.org,251 Cowee Creek Rd,Franklin,Macon,North Carolina,28734,,-83.4079,35.2614,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22002966,55.2 Franklin Tailgate Market,,West Palmer Street,Franklin,Macon,North Carolina,28734,,-83.3916,35.1786,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22005409,"55.4 Foothills Farmers' Market, Inc.",http://www.foothillsfarmersmarket.com,117 E College Ave,Boiling Springs,Cleveland,North Carolina,28017,June - August Thursday 5:00 PM to 7:00 PM,-81.667211,35.248928,Local government building grounds,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,8/3/2012 4:02:24 PM
22001672,55.5 East Tennessee Regional Food Distribution,,1715 Garden Village Drive,White Pine,Jefferson,Tennessee,37890,,-83.2927,36.1314,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22001797,55.8 Pasquotank Farmers Market,,Pritchard St. next to Co-op Ext. Center,Elizabeth City,Pasquotank,North Carolina,27906,,-83.5101,35.3746,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1003738,56.3 Dandridge Farmers Market,http://www.mainstreetdandridge.com,Gay Street and Meeting Street,Dandridge,Jefferson,Tennessee,37725,"May - October Saturday 9:00 AM to 12:00 PM, (Occasionally there will be an evening market. Please email for additional Information.)",-83.415756,36.016164,Local government building grounds,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,5/18/2012 8:24:49 PM
1002022,56.3 Hub City Farmers' Market,http://www.hubcityfm.org,298 Magnolia Street,Spartanburg,Spartanburg,South Carolina,29306,"May - November Saturday 8:00 AM to 12:00 PM, (Opening Day will be Saturday, May 12!)",-81.93683,34.95446,Other,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,5/1/2012 3:08:43 PM
21001573,56.7 Burke County Farmer's Market II,,Faett Street,Valdese,Burke,North Carolina,28690,January - December Saturday 8:00 am to 12:00 pm,-81.5627,35.7411,Local government building grounds,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,4/13/2011 2:26:36 PM
1002022,56.8 Hub City Farmers' Market,http://www.hubcityfm.org,Morgan Square,Spartanburg,Spartanburg,South Carolina,29306,"June - September Wednesday 11:00 AM to 1:00 PM, (Opening Day will be June 6, 2012. )",-81.9321686,34.9497165,Local government building grounds,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,5/1/2012 3:08:43 PM
1002022,56.8 Hub City Farmers' Market,http://www.hubcityfm.org,,Spartanburg,Spartanburg,South Carolina,29306,"May - October , (Hours for the Mobile Market will vary. Check the website at www.hubcityfm.org for more information.)",-81.9320482,34.9495672,Other,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/1/2012 3:08:43 PM
21001971,57.1 Appalachian Farmers' Market,http://appfarmersmarket.com,Intersection of Fair Street and Lakeview Drive,Gray,Washington,Tennessee,37615,May Saturday 7:00 am to 12:00 pm June - October,-82.4819,36.4183,Private business parking lot,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,1/17/2012 9:00:09 AM
22002589,58.4 Carolina First Saturday Market,http://www.saturdaymarketlive.com,Downtown Greenville,Greenville,Greenville,South Carolina,29603,,-82.3544,34.7651,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22002020,60.6 Morristown Farmers Market,,Morris Blvd.,Morristown,Hamblen,Tennessee,37814,,-83.3102,36.2238,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22003051,60.8 Valle Crucis Farmers Market at Mast General,,Behind the Mast General Store,Valle Crucis,Watauga,North Carolina,28691,,-81.781,36.2111,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22005409,"60.9 Foothills Farmers' Market, Inc.",http://www.foothillsfarmersmarket.com,315 E. Grover Street,Shelby,Cleveland,North Carolina,28150,June - August Tuesday 8:00 AM to 12:00 PM,-81.5353333,35.3017976,Local government building grounds,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,8/3/2012 4:02:24 PM
22005409,"61.0 Foothills Farmers' Market, Inc.",http://www.foothillsfarmersmarket.com,111 S. Washington Street,Shelby,Cleveland,North Carolina,28150,"April - November Wednesday 8:00 AM to 12:00 PM, Saturday 8:00 AM to 12:00 PM",-81.538591,35.29113,Closed-off public street,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,8/3/2012 4:02:24 PM
22003036,61.1 Lenoir Bluegrass Farmers Market,http://www.thebluegrassmarket.com,112 Church Street,Lenoir,Caldwell,North Carolina,28645,,-81.5401,35.9138,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22002008,61.2 Caldwell County Farmers Market,,5936 Rock Falls Road,Lenoir,Caldwell,North Carolina,28645,,-81.5386,35.9166,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22004306,61.5 Blowing Rock Fresh Market,http://www.blowingrock.com/freshmarket.htm,Located between Memorial Park and the American Legion on Wallingford Street,Blowing Rock,Watauga County,North Carolina,,,-81.6799,36.1322,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
22005211,61.6 Simpsonville Farmers Market,http://www.facebook.com/pages/Simpsonville-SC/Simpsonville-Farmers-Market/126756400672753?ref=ts,South St. & Curtis St.,Simpsonville,Greenville,South Carolina,29681,,-82.2582,34.7365,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
22003972,62.5 Gaffney Station Farmers Market Gaffney Station Farmers Market,,Corner of Frederick St. and Granard St.,Gaffney,Cherokee,South Carolina,29342,,-81.648,35.0763,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
22001880,63.3 Rogersville Farmers Market,,85 Main St.,Rogersville,Hawkins,Tennessee,37857,,-82.9054,36.4659,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
21003300,64.2 Clemson Farmers' Market,http://www.clemsonfarmersmarket.org,578 Issaqueena Trail,Clemson,Pickens,South Carolina,29631,"June - November Friday 3:30 pm to 6:30 pm, (2011 Market Preview Event: Friday, May 6, 2011 from 3:00-7:00 p.m.)",-82.787,34.6844,Private business parking lot,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,4/22/2011 4:56:16 PM
22001885,64.5 Walhalla Farmers Market,,Church Street,Walhalla,Oconee,South Carolina,29691,,-83.07,34.7613,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1004180,65.2 Clemson Farm-Fresh Market,http://www.facebook.com/CUFarmFresh,Intersection of Fort Hill Street and Calhoun Drive,Clemson,Pickens,South Carolina,29634,"September - November Wednesday 11:00 AM to 2:00 PM, (September 12th, September 26th, October 10th, October 24th, November 7th)",-82.837665,34.679047,Educational institution,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,5/25/2012 7:37:48 PM
1002194,65.3 Watauga County Farmers' Market,http://wataugacountyfarmersmarket.org,591 Horn In the West Drive,Boone,Watauga,North Carolina,28607,"November , (We are also open 8am - 12pm on the Saturdays before and after Thanksgiving)",-81.669862,36.209499,Other,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,5/3/2012 12:09:01 PM
22000751,65.4 High Country Farmers Market,http://highcountryfarmersmarket.wordpress.com,178 King St,Boone,Watauga,North Carolina,28607,,-81.6758,36.2169,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 22 2010 4:19PM
21001039,65.5 Fountain Inn Farmers Market,http://www.fountaininn.org/community,102 Depot Street,Fountain Inn,Greenville,South Carolina,29644,January - December,-82.1996,34.6924,Local government building grounds,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,4/5/2011 11:30:42 AM
21002742,66.1 kingsport farmers market,,conor of clinchfild and center street,kingsport tn.,Sullivan,Tennessee,,January - December,-82.5648,36.551,Local government building grounds,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,4/19/2011 8:43:15 PM
